# y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 -2.342503332230753056e-10 2.889096124990209735e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.176503139302004134e-36 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -4.685006664461505078e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.110235019829264091e-02 7.245991798437662144e-04 2.851455354129698860e-01 0.000000000000000000e+00 9.999858899371265597e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.005729630036472991e-03 -3.980482056045502258e-07 0.000000000000000000e+00 -3.980482056045502258e-07 4.711428583307734400e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.434640182224768262e-04 7.110185565654703055e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.162495221624994024e-01 6.615443945023100070e-03 2.781750327157916924e-01 0.000000000000000000e+00 9.999469147763482280e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.271134506947366349e-03 -1.137182466915139923e-05 0.000000000000000000e+00 -1.137182466915139923e-05 3.846287241004186153e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.959368754374734123e-03 2.162444005069230901e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.383836933411094927e-01 2.667850663959165855e-02 2.690675538155508084e-01 0.000000000000000000e+00 9.998185653292308572e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.792463528677893214e-02 -9.679784760567144292e-05 0.000000000000000000e+00 -9.679784760567144292e-05 6.048292318467310249e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.542632970008592057e-02 4.383546313113362847e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.404467353763259929e-01 7.431813547934493225e-02 2.589759788541222130e-01 0.000000000000000000e+00 9.993785912833542673e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.075991555237776065e-01 -4.781457254533119758e-04 0.000000000000000000e+00 -4.781457254533119758e-04 4.471795879474329226e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.099239747611752027e-02 7.403063177345499124e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.125380202420942055e+00 1.669074739112718087e-01 2.486406921298796868e-01 0.000000000000000000e+00 9.980626149911918654e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.469056764728028985e-01 -1.718677337371013990e-03 0.000000000000000000e+00 -1.718677337371013990e-03 2.115274855986983872e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.669774386414201561e-02 1.124780601314649076e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.596125319450033109e+00 3.249395163529988917e-01 2.380092287061632006e-01 0.000000000000000000e+00 9.947055589386126773e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.920761127102227239e-01 -4.981768284725915721e-03 0.000000000000000000e+00 -4.981768284725915721e-03 7.408701319817945522e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.570620498637934070e-01 1.593912181611315093e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.155622970581291042e+00 5.700385143238728691e-01 2.262442165742402089e-01 0.000000000000000000e+00 9.872936380317610672e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.839683134634549466e-01 -1.227870555596586970e-02 0.000000000000000000e+00 -1.227870555596586970e-02 2.085514823428185130e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.540232003608626221e-01 2.148568636179320812e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.735711337193031945e+00 8.794886986572365561e-01 2.139386103514709925e-01 0.000000000000000000e+00 9.748179109346056803e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.391516383504098009e+00 -2.463060294009045137e-02 0.000000000000000000e+00 -2.463060294009045137e-02 4.574179300730613421e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.628868345096443182e-01 2.717918867902521907e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.336388115074059080e+00 1.245270585156587950e+00 2.011223704742207130e-01 0.000000000000000000e+00 9.562887308572535217e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.002918592492005878e+00 -4.302616760017188152e-02 0.000000000000000000e+00 -4.302616760017188152e-02 8.554758821811919711e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.790678189993579084e-01 3.298192924991181219e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.957650918233039938e+00 1.655226827526599109e+00 1.885427770085993104e-01 0.000000000000000000e+00 9.312143085821216193e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.697083123343674949e+00 -6.795673174071240052e-02 0.000000000000000000e+00 -6.795673174071240052e-02 1.432665449763795978e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.990438772118853450e-01 3.884810062158415178e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.599497278907138664e+00 2.094180198292009187e+00 1.771372574347256923e-01 0.000000000000000000e+00 8.996593658158216211e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.445994837431021196e+00 -9.935764842294199373e-02 0.000000000000000000e+00 -9.935764842294199373e-02 2.212984198125211854e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.202357171717447271e-01 4.472661471036921021e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.261924647571223801e+00 2.545676801746448170e+00 1.676218603369820925e-01 0.000000000000000000e+00 8.622016752149116448e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.218370752185364836e+00 -1.366517079500358944e-01 0.000000000000000000e+00 -1.366517079500358944e-01 3.214303054052793096e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.408398207670032543e-01 5.056451911678451872e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.944930392949966169e+00 2.993814027704709169e+00 1.603003685592528926e-01 0.000000000000000000e+00 8.198167667632707545e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.983497331857054569e+00 -1.788643167608650053e-01 0.000000000000000000e+00 -1.788643167608650053e-01 4.448689987502570109e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.596438236773369157e-01 5.631040719012941231e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.648511802027045725e+00 3.424725753795720085e+00 1.550725200160296968e-01 0.000000000000000000e+00 7.737284660928244184e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.714370530246508650e+00 -2.247728164384185934e-01 0.000000000000000000e+00 -2.247728164384185934e-01 5.922935787049043305e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.075851619474440080e+00 6.191734746573502868e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.372666080054941951e+00 3.827505553481123979e+00 1.515579614006166975e-01 0.000000000000000000e+00 7.252583950226856313e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.389683782639549392e+00 -2.730568406437616225e-01 0.000000000000000000e+00 -2.730568406437616225e-01 7.639089803802540102e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.188936426284673997e+00 6.734504325216657428e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.117390350568175705e+00 4.194546751238520166e+00 1.492505603687611926e-01 0.000000000000000000e+00 6.756973507010433089e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.994613934909115649e+00 -3.224268187495392124e-01 0.000000000000000000e+00 -3.224268187495392124e-01 9.594917818573645008e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.298530389382188011e+00 7.256111921581340773e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.882681655393671605e+00 4.521409574438359336e+00 1.476467474525995915e-01 0.000000000000000000e+00 6.262103961235122584e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.520625289776707412e+00 -3.717187995118702015e-01 0.000000000000000000e+00 -3.717187995118702015e-01 1.178427239763970985e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.404351135123613092e+00 7.754158045599447213e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.668536954662272365e+00 4.806380683700941070e+00 1.463252663909236084e-01 0.000000000000000000e+00 5.777783178119660912e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.964627136814526054e+00 -4.199529334143857762e-01 0.000000000000000000e+00 -4.199529334143857762e-01 1.419741144554630130e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.506160116131892934e+00 8.227058594739762754e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.047495312682140955e+01 5.049886987171328556e+00 1.449799005488983106e-01 0.000000000000000000e+00 5.311718211553738689e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.327816005286795331e+00 -4.663592637429678223e-01 0.000000000000000000e+00 -4.663592637429678223e-01 1.682131521113593986e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.603744816944502993e+00 8.673972360172825802e+00 0.000000000000000000e+00 0.000000000000000000e+00
