y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
0.000000000000000000e+00 2.203287923059021074e-34 2.316216216893048907e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.458396928712246980e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.948178917405794954e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.695770315769523053e-03 8.414171170380350060e-07 2.315112751929684076e-01 0.000000000000000000e+00 9.999950399289634362e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.189616701975901948e-06 -1.910620852615976900e-11 0.000000000000000000e+00 -1.910620852615976900e-11 7.394295099260747760e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.932175247058725080e-07 2.695763630176472962e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.347866438236127937e-02 2.101484896201723151e-05 2.310728130548921067e-01 0.000000000000000000e+00 9.999751977279505155e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.973259640193555097e-05 -2.390467144677507836e-09 0.000000000000000000e+00 -2.390467144677507836e-09 4.606104124225703099e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.229709691599479054e-05 1.347849723956926968e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.773947405876450223e-02 1.643997963176038128e-04 2.301028489833394919e-01 0.000000000000000000e+00 9.999305094275700023e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.329724656093623092e-04 -5.258512422043052130e-08 0.000000000000000000e+00 -5.258512422043052130e-08 2.810218960038762056e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.582684600394941775e-05 3.773816328411264132e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.086805528724719250e-02 7.520442583009450841e-04 2.284323905439183955e-01 0.000000000000000000e+00 9.998506899782679813e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.068751209655581036e-03 -5.193396427564130897e-07 0.000000000000000000e+00 -5.193396427564130897e-07 5.847957200343075717e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.353314589891092083e-04 8.086202857406799005e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.482529538173228134e-01 2.513125627280423952e-03 2.259506367603202059e-01 0.000000000000000000e+00 9.997240103763560537e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.587132920736241844e-03 -3.218549197820581197e-06 0.000000000000000000e+00 -3.218549197820581197e-06 6.472733078532985331e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.439053606493820043e-03 1.482326151435645889e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.452810310211923084e-01 6.824326091782276574e-03 2.226266863312396094e-01 0.000000000000000000e+00 9.995340165444722702e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.801307697485444823e-03 -1.469549368400434074e-05 0.000000000000000000e+00 -1.469549368400434074e-05 4.710549019343354850e-07 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.846873431177177081e-03 2.452247868325503066e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.773370898258245898e-01 1.598196094110695964e-02 2.185217779553355055e-01 0.000000000000000000e+00 9.992516822380684838e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.314367894241368961e-02 -5.407364593551074265e-05 0.000000000000000000e+00 -5.407364593551074265e-05 2.536206868285839201e-06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.817706732931937172e-03 3.772010354630189743e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.471077304725138202e-01 3.316722060545229667e-02 2.138502550567485117e-01 0.000000000000000000e+00 9.988264995756223064e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.852522387918291324e-02 -1.669253630077874090e-04 0.000000000000000000e+00 -1.669253630077874090e-04 1.065722603350748973e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.779856010568817842e-02 5.468097258580287834e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.545811639572239660e-01 6.215193749994613048e-02 2.088922895406981062e-01 0.000000000000000000e+00 9.981676869992736068e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.203141703868521206e-02 -4.440630580106026898e-04 0.000000000000000000e+00 -4.440630580106026898e-04 3.627450358264673868e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.223618345762439136e-02 7.539744515261872504e-01 0.000000000000000000e+00 0.000000000000000000e+00
